Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location,price
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1,vacant,1705.0,dhaka,"৳16,900,000","Lake Circus Road, Kalabagan",16900000.0
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6,vacant,1370.0,dhaka,"৳12,500,000","Shukrabad, Dhanmondi",12500000.0
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3,vacant,1150.0,dhaka,"৳8,800,000","Middle Badda, Badda",8800000.0
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8,vacant,1397.0,dhaka,"৳8,000,000","Matuail, Demra",8000000.0
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur",8000000.0
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur",8000000.0
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6,vacant,1300.0,dhaka,"৳8,000,000","West Dolairpar, Shyampur",8000000.0
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5,vacant,1500.0,dhaka,"৳11,000,000","Block H, Aftab Nagar",11000000.0
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3,vacant,1450.0,dhaka,"৳9,500,000","Sector 10, Uttara",9500000.0
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2,vacant,750.0,dhaka,"৳6,200,000","Sector 10, Uttara",6200000.0
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5,vacant,1185.0,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan",11000000.0
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4,vacant,1610.0,dhaka,"৳13,100,000","Block H, Bashundhara R-A",13100000.0
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,7,vacant,2180.0,dhaka,"৳17,500,000","Block J, Bashundhara R-A",17500000.0
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,2,vacant,1175.0,dhaka,"৳8,300,000","Baitul Aman Housing Society, Adabor",8300000.0
Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,1,vacant,650.0,dhaka,"৳3,100,000","Section 6, Mirpur",3100000.0
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1,vacant,1331.0,dhaka,"৳16,000,000","Sector 4, Uttara",16000000.0
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,4,vacant,900.0,dhaka,"৳4,500,000","Nobodoy Housing Society, Mohammadpur",4500000.0
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,2,vacant,1350.0,dhaka,"৳14,200,000","Free School Street, Kathalbagan",14200000.0
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,5,vacant,1200.0,dhaka,"৳7,500,000","Pallabi, Mirpur",7500000.0
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4,vacant,1410.0,dhaka,"৳13,800,000","Vashani Goli, Shantinagar",13800000.0
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5,vacant,650.0,dhaka,"৳4,000,000","Gandaria, Sutrapur",4000000.0
An Apartment For Sale Is All Set For You To Settle In Mohammadpur Close To Dhaka Udyan Government College,3.0,3.0,8th,vacant,1100.0,dhaka,"৳4,700,000","Dhaka Uddan, Mohammadpur",4700000.0
A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3.0,2.0,2,vacant,1220.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur",5000000.0
1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3.0,3.0,5,vacant,1240.0,dhaka,"৳7,320,000","Section 1, Mirpur",7320000.0
1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3.0,3.0,5,vacant,1700.0,dhaka,"৳6,500,000","South Chalabon, Dakshin Khan",6500000.0
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3.0,3.0,1,vacant,1400.0,dhaka,"৳8,500,000","West Agargaon, Agargaon",8500000.0
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3.0,3.0,1,vacant,1050.0,dhaka,"৳4,700,000","Section 6, Mirpur",4700000.0
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3.0,3.0,8,vacant,1240.0,dhaka,"৳8,700,000","Dakkhin Paikpara, Mirpur",8700000.0
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3.0,3.0,1,vacant,1504.0,dhaka,"৳7,100,000",Keraniganj,7100000.0
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2.0,2.0,5,vacant,750.0,dhaka,"৳4,000,000","Kadamtali, Shyampur",4000000.0
